#  k              avgk        avgP-pSN       s_avgP       SN
# 
3.141593e-03 4.009122e-03 7.841424e+01 1.185144e+01 2.324421e+01
6.283185e-03 7.008279e-03 1.144557e+02 8.304592e+00 2.324421e+01
9.424778e-03 9.846258e-03 1.442372e+02 4.248958e+00 2.324421e+01
1.256637e-02 1.275670e-02 1.364297e+02 6.061019e+00 2.324421e+01
1.570796e-02 1.601454e-02 1.553937e+02 4.240354e+00 2.324421e+01
1.884956e-02 1.923262e-02 1.426231e+02 4.804213e+00 2.324421e+01
2.199115e-02 2.221655e-02 1.467227e+02 2.962056e+00 2.324421e+01
2.513274e-02 2.521154e-02 1.315962e+02 2.955503e+00 2.324421e+01
2.827433e-02 2.845465e-02 1.228590e+02 2.041198e+00 2.324421e+01
3.141593e-02 3.170923e-02 1.151645e+02 1.585988e+00 2.324421e+01
3.455752e-02 3.474996e-02 1.076309e+02 1.771437e+00 2.324421e+01
3.769911e-02 3.779067e-02 9.902809e+01 1.440864e+00 2.324421e+01
4.084070e-02 4.098137e-02 9.231480e+01 7.181940e-01 2.324421e+01
4.398230e-02 4.415116e-02 8.704480e+01 4.397189e-01 2.324421e+01
4.712389e-02 4.717609e-02 7.967050e+01 8.119131e-01 2.324421e+01
5.026548e-02 5.028003e-02 7.640302e+01 8.100067e-01 2.324421e+01
5.340708e-02 5.350694e-02 7.436632e+01 7.065269e-01 2.324421e+01
5.654867e-02 5.671367e-02 7.148800e+01 8.168414e-01 2.324421e+01
5.969026e-02 5.980448e-02 6.791066e+01 3.983153e-01 2.324421e+01
6.283185e-02 6.289022e-02 6.596054e+01 5.577719e-01 2.324421e+01
6.597345e-02 6.607451e-02 6.365916e+01 6.334146e-01 2.324421e+01
6.911504e-02 6.922816e-02 6.107518e+01 3.695298e-01 2.324421e+01
7.225663e-02 7.232486e-02 5.762615e+01 3.441791e-01 2.324421e+01
7.539822e-02 7.542675e-02 5.484488e+01 1.974666e-01 2.324421e+01
7.853982e-02 7.858645e-02 5.179052e+01 3.938934e-01 2.324421e+01
8.168141e-02 8.177089e-02 4.902018e+01 2.895564e-01 2.324421e+01
8.482300e-02 8.491281e-02 4.623292e+01 3.149801e-01 2.324421e+01
8.796459e-02 8.805068e-02 4.327049e+01 2.977382e-01 2.324421e+01
9.110619e-02 9.119993e-02 4.100692e+01 5.061372e-01 2.324421e+01
9.424778e-02 9.432535e-02 3.851905e+01 2.989619e-01 2.324421e+01
9.738937e-02 9.745408e-02 3.645294e+01 1.779008e-01 2.324421e+01
1.005310e-01 1.005713e-01 3.519105e+01 2.393402e-01 2.324421e+01
1.036726e-01 1.036977e-01 3.377395e+01 1.232905e-01 2.324421e+01
1.068141e-01 1.068695e-01 3.241239e+01 1.274611e-01 2.324421e+01
1.099557e-01 1.100165e-01 3.132856e+01 1.852174e-01 2.324421e+01
1.130973e-01 1.131465e-01 3.050707e+01 1.564412e-01 2.324421e+01
1.162389e-01 1.162993e-01 2.981891e+01 2.100886e-01 2.324421e+01
1.193805e-01 1.194446e-01 2.897843e+01 1.539357e-01 2.324421e+01
1.225221e-01 1.225609e-01 2.816487e+01 1.156345e-01 2.324421e+01
1.256637e-01 1.256869e-01 2.741771e+01 1.470332e-01 2.324421e+01
1.288053e-01 1.288535e-01 2.640773e+01 9.886432e-02 2.324421e+01
1.319469e-01 1.320102e-01 2.566030e+01 1.301606e-01 2.324421e+01
1.350885e-01 1.351449e-01 2.489981e+01 2.089401e-01 2.324421e+01
1.382301e-01 1.382808e-01 2.395089e+01 1.383922e-01 2.324421e+01
1.413717e-01 1.414349e-01 2.320205e+01 1.532461e-01 2.324421e+01
1.445133e-01 1.445743e-01 2.215052e+01 9.348759e-02 2.324421e+01
1.476549e-01 1.476762e-01 2.118095e+01 4.861621e-02 2.324421e+01
1.507964e-01 1.508038e-01 2.063901e+01 1.086633e-01 2.324421e+01
1.539380e-01 1.539691e-01 1.963587e+01 1.221339e-01 2.324421e+01
1.570796e-01 1.571380e-01 1.895131e+01 1.047272e-01 2.324421e+01
1.602212e-01 1.602731e-01 1.847663e+01 1.176219e-01 2.324421e+01
1.633628e-01 1.634064e-01 1.799572e+01 9.360274e-02 2.324421e+01
1.665044e-01 1.665619e-01 1.742012e+01 1.095772e-01 2.324421e+01
1.696460e-01 1.697023e-01 1.696134e+01 6.345207e-02 2.324421e+01
1.727876e-01 1.728196e-01 1.666329e+01 9.385106e-02 2.324421e+01
1.759292e-01 1.759404e-01 1.635954e+01 1.231650e-01 2.324421e+01
1.790708e-01 1.791016e-01 1.598620e+01 5.754742e-02 2.324421e+01
1.822124e-01 1.822559e-01 1.561933e+01 5.312934e-02 2.324421e+01
1.853540e-01 1.853820e-01 1.520093e+01 1.128275e-01 2.324421e+01
1.884956e-01 1.885270e-01 1.482900e+01 8.453111e-02 2.324421e+01
1.916372e-01 1.916794e-01 1.446057e+01 6.754967e-02 2.324421e+01
1.947787e-01 1.948257e-01 1.403542e+01 7.285973e-02 2.324421e+01
1.979203e-01 1.979385e-01 1.382469e+01 9.796151e-02 2.324421e+01
2.010619e-01 2.010563e-01 1.346578e+01 6.239577e-02 2.324421e+01
2.042035e-01 2.042269e-01 1.309964e+01 6.010834e-02 2.324421e+01
2.073451e-01 2.073848e-01 1.278770e+01 4.988337e-02 2.324421e+01
2.104867e-01 2.105272e-01 1.254892e+01 7.135231e-02 2.324421e+01
2.136283e-01 2.136644e-01 1.219109e+01 6.251306e-02 2.324421e+01
2.167699e-01 2.168107e-01 1.186449e+01 5.241203e-02 2.324421e+01
2.199115e-01 2.199591e-01 1.158242e+01 9.394699e-02 2.324421e+01
2.230531e-01 2.230742e-01 1.128923e+01 4.251390e-02 2.324421e+01
2.261947e-01 2.262094e-01 1.096978e+01 6.089683e-02 2.324421e+01
2.293363e-01 2.293577e-01 1.083892e+01 5.927233e-02 2.324421e+01
2.324779e-01 2.325128e-01 1.059613e+01 4.480985e-02 2.324421e+01
