# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.02819e-05 to 100.188 h/Mpc,
# number of wavenumbers equal to 4849
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.028193304846e-05      -1.126197939811e-07      -5.210285875890e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       4.928468775936e+01 
       1.031156946043e-05      -1.135856118708e-07      -5.254970472201e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       4.942204785131e+01 
       1.034129129573e-05      -1.145604765043e-07      -5.300038408519e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       4.955979184905e+01 
       1.037109880057e-05      -1.155415802714e-07      -5.345492893046e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       4.969792007197e+01 
       1.040099222190e-05      -1.165345383924e-07      -5.391337696149e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       4.983643779535e+01 
       1.043097180734e-05      -1.175337356472e-07      -5.437575841693e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       4.997534307867e+01 
       1.046103780527e-05      -1.185422916024e-07      -5.484209120676e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.011462252474e+01 
       1.049119046476e-05      -1.195567747345e-07      -5.531243644151e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.025430205865e+01 
       1.052143003559e-05      -1.205834241773e-07      -5.578681077577e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.039436661836e+01 
       1.055175676827e-05      -1.216160007971e-07      -5.626524589791e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.053481475159e+01 
       1.058217091405e-05      -1.226610556841e-07      -5.674779906372e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.067566763487e+01 
       1.061267272488e-05      -1.237120377482e-07      -5.723448051958e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.081690398390e+01 
       1.064326245343e-05      -1.247720665560e-07      -5.772533147335e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.095853009409e+01 
       1.067394035313e-05      -1.258414540644e-07      -5.822040526911e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.110056253121e+01 
       1.070470667812e-05      -1.269230078833e-07      -5.871972745291e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.124299298326e+01 
       1.073556168327e-05      -1.280104888792e-07      -5.922332358535e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.138581309906e+01 
       1.076650562419e-05      -1.291073285756e-07      -5.973123210098e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.152902558388e+01 
       1.079753875723e-05      -1.302163345827e-07      -6.024349449146e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.167263546281e+01 
       1.082866133947e-05      -1.313312677667e-07      -6.076016714793e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.181666011071e+01 
       1.085987362873e-05      -1.324583672613e-07      -6.128126242102e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.196107891840e+01 
       1.089117588360e-05      -1.335948254564e-07      -6.180682675154e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.210590024285e+01 
       1.092256836338e-05      -1.347403303953e-07      -6.233690156275e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.225112780048e+01 
       1.095405132814e-05      -1.358948820780e-07      -6.287151564039e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.239675444527e+01 
       1.098562503869e-05      -1.370616000713e-07      -6.341071803285e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.254278973888e+01 
       1.101728975658e-05      -1.382373648084e-07      -6.395453765058e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.268922618736e+01 
       1.104904574415e-05      -1.394224882461e-07      -6.450304354140e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.283608909875e+01 
       1.108089326446e-05      -1.406197779943e-07      -6.505623047354e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.298334245829e+01 
       1.111283258134e-05      -1.418233068762e-07      -6.561417145786e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.313101418288e+01 
       1.114486395939e-05      -1.430418096788e-07      -6.617689449906e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.327909506850e+01 
       1.117698766396e-05      -1.442665516151e-07      -6.674444558810e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.342759026865e+01 
       1.120920396117e-05      -1.455031479054e-07      -6.731686311930e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.357649852231e+01 
       1.124151311791e-05      -1.467522224630e-07      -6.789419040295e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.372582223597e+01 
       1.127391540184e-05      -1.480106557210e-07      -6.847645976077e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.387555486348e+01 
       1.130641108138e-05      -1.492809433330e-07      -6.906373163838e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.402571175641e+01 
       1.133900042573e-05      -1.505602776888e-07      -6.965604102253e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.417628786078e+01 
       1.137168370487e-05      -1.518520903119e-07      -7.025342927005e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.432728290925e+01 
       1.140446118956e-05      -1.531560692456e-07      -7.085594109239e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.447869896490e+01 
       1.143733315134e-05      -1.544690949231e-07      -7.146361841669e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.463053565960e+01 
       1.147029986251e-05      -1.557942869113e-07      -7.207650876042e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.478279662645e+01 
       1.150336159619e-05      -1.571285256432e-07      -7.269465532261e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.493548189503e+01 
       1.153651862627e-05      -1.584752426425e-07      -7.331811418696e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.508860091742e+01 
       1.156977122742e-05      -1.598369335625e-07      -7.394690689177e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.524213686317e+01 
       1.160311967512e-05      -1.612076712263e-07      -7.458110144812e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.539610754581e+01 
       1.163656424563e-05      -1.625877675906e-07      -7.522072843977e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.555050247193e+01 
       1.167010521602e-05      -1.639831498323e-07      -7.586584100000e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.570532768440e+01 
       1.170374286414e-05      -1.653903864280e-07      -7.651647275390e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.586057458517e+01 
       1.173747746867e-05      -1.668072936809e-07      -7.717271690750e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.601627775876e+01 
       1.177130930905e-05      -1.682388628979e-07      -7.783455096240e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.617238723225e+01 
       1.180523866558e-05      -1.696797908153e-07      -7.850209412774e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.632895559375e+01 
       1.183926581931e-05      -1.711360046102e-07      -7.917534861548e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.648595049617e+01 
       1.187339105214e-05      -1.726043847157e-07      -7.985437706789e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.664338293068e+01 
       1.190761464678e-05      -1.740852430885e-07      -8.053921558989e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.680124465662e+01 
       1.194193688673e-05      -1.755779558152e-07      -8.122995145306e-09      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       5.695956323489e+01 
